ChEMBL_ID,pKi,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,HeavyAtoms,NumRings,NumSaturatedRings,NumAliphaticRings,MolMR,NumCarbons,NumNitrogens,NumOxygens,NumFluorines,NumHalogens
CHEMBL260151,6.83,426.604,4.570700000000005,26.71,1,3,7,3,32,5,2,2,130.83579999999998,29,2,1,0,3
CHEMBL261737,7.95,381.5230000000001,4.6005800000000034,47.85,2,3,6,3,29,4,1,1,117.53640000000003,26,3,0,0,3
CHEMBL263636,7.7,444.5940000000001,5.229900000000005,26.71,1,3,7,3,33,5,2,2,130.65980000000002,29,2,1,1,4
CHEMBL265454,6.19,430.5670000000001,4.839800000000005,26.71,1,3,6,3,32,5,2,2,126.04280000000004,28,2,1,1,4
CHEMBL273878,7.82,502.35600000000017,5.639300000000006,78.3,0,4,4,2,29,4,2,2,120.83800000000002,22,4,2,0,7
CHEMBL275707,7.01,321.46800000000013,3.866800000000003,20.2,1,3,4,3,24,4,1,1,102.56070000000007,21,3,0,0,3
CHEMBL278165,6.02,352.297,4.154200000000004,23.47,1,3,5,2,20,2,0,0,88.02080000000005,16,1,1,0,4
CHEMBL278809,6.09,370.259,3.7440000000000015,38.05,2,3,4,2,18,2,0,0,86.90010000000002,14,2,0,0,4
CHEMBL281288,9.23,261.796,4.092300000000003,3.24,0,1,2,1,18,3,2,2,77.07000000000005,16,1,0,0,2
CHEMBL281388,7.58,415.4800000000002,4.485200000000004,38.77,0,4,6,2,30,4,2,2,108.82900000000005,24,1,3,2,6
CHEMBL281594,7.92,450.5730000000001,5.3212000000000055,15.71,0,3,10,3,33,4,1,1,128.23800000000003,28,2,1,2,5
CHEMBL283154,7.04,477.55100000000016,5.665500000000006,38.77,0,4,7,3,35,5,2,2,128.43400000000005,29,1,3,2,6
CHEMBL284002,6.76,413.3240000000001,4.650400000000005,12.47,0,3,6,2,21,2,0,0,97.82800000000005,17,1,1,0,4
CHEMBL284096,8.68,547.4270000000001,6.977700000000007,12.47,0,2,8,3,32,4,1,1,132.37199999999996,27,1,1,2,5
CHEMBL285673,8.24,435.55800000000016,6.681520000000007,12.47,0,2,8,3,32,4,1,1,124.39200000000004,28,1,1,2,4
CHEMBL286949,7.85,522.6360000000002,4.993000000000006,45.17,1,5,9,3,38,5,1,2,143.2397999999999,31,2,3,2,7
CHEMBL286991,9.05,448.55700000000013,5.401800000000006,15.71,0,3,9,3,33,4,1,1,128.95100000000005,28,2,1,2,5
CHEMBL289013,7.88,451.55700000000013,6.381700000000007,21.700000000000003,0,3,9,3,33,4,1,1,126.20700000000005,28,1,2,2,5
CHEMBL290799,8.92,466.52800000000013,6.281300000000006,55.61,0,4,9,3,34,4,1,1,126.30940000000004,27,2,3,2,7
CHEMBL295880,6.19,306.83700000000005,3.930200000000003,24.83,0,3,2,1,21,3,2,2,87.01300000000005,17,2,1,0,4
CHEMBL296394,7.88,365.4730000000001,4.101500000000003,38.77,0,4,4,2,27,4,2,2,105.86700000000006,23,1,3,0,4
CHEMBL296602,8.77,292.209,4.789500000000003,12.03,1,1,2,2,19,3,0,1,81.16470000000004,16,1,0,0,3
CHEMBL297166,5.7,267.756,2.5483000000000002,29.54,0,3,2,1,18,2,1,1,71.81300000000005,14,1,2,0,4
CHEMBL299635,6.45,365.4730000000001,4.101500000000003,38.77,0,4,4,2,27,4,2,2,105.86700000000006,23,1,3,0,4
CHEMBL300511,8.29,380.44400000000013,4.001100000000003,72.67999999999999,0,5,4,2,28,4,2,2,105.96940000000005,22,2,4,0,6
CHEMBL301174,8.02,380.44400000000013,4.001100000000003,72.67999999999999,0,5,4,2,28,4,2,2,105.96940000000005,22,2,4,0,6
CHEMBL304678,5.54,319.83599999999996,4.049300000000003,42.160000000000004,0,4,3,2,22,3,1,1,87.43500000000006,17,3,1,0,5
CHEMBL305876,6.28,387.4860000000001,6.498300000000005,37.81,1,3,5,5,30,5,0,0,123.32370000000002,27,3,0,0,3
CHEMBL305998,5.27,401.51300000000015,6.540800000000005,37.81,1,3,6,5,31,5,0,0,128.19070000000002,28,3,0,0,3
CHEMBL306314,7.01,411.589,6.278300000000007,12.47,0,2,8,3,31,5,2,2,127.06500000000004,29,1,1,0,2
CHEMBL306359,6.46,480.47900000000004,7.585100000000007,12.47,0,2,8,3,33,5,2,2,137.08499999999992,29,1,1,0,4
CHEMBL306528,6.66,439.64300000000014,6.895140000000008,12.47,0,2,8,3,33,5,2,2,136.53899999999993,31,1,1,0,2
CHEMBL310310,7.52,341.88200000000006,5.071200000000005,12.47,0,2,4,2,24,4,2,2,98.41700000000006,21,1,1,0,3
CHEMBL311044,6.7,446.03400000000005,6.931700000000007,12.47,0,2,8,3,32,5,2,2,132.075,29,1,1,0,3
CHEMBL311347,7.57,385.2450000000001,3.0305000000000017,29.54,0,3,2,1,20,3,2,2,86.59600000000005,16,1,2,0,4
CHEMBL314424,8.46,465.58800000000014,5.234300000000005,29.950000000000003,1,4,10,3,34,4,1,1,133.32179999999994,28,3,1,2,6
CHEMBL315697,7.4,350.2890000000001,5.617500000000005,23.47,1,2,4,2,23,3,0,1,96.69080000000005,19,1,1,0,4
CHEMBL316341,5.88,364.31600000000014,5.920500000000006,12.47,0,2,5,2,24,3,0,1,101.57800000000006,20,1,1,0,4
CHEMBL317757,7.95,343.4170000000001,4.696000000000004,12.47,0,2,4,2,25,4,2,2,93.32300000000005,21,1,1,2,4
CHEMBL318961,9.03,417.262,3.3702000000000023,29.540000000000003,0,3,4,1,22,3,2,2,91.51400000000005,17,1,2,1,5
CHEMBL321888,9.03,277.839,4.706400000000005,3.24,0,1,3,1,19,3,2,2,81.78100000000006,17,1,0,0,2
CHEMBL322365,6.81,319.92000000000013,5.876700000000007,3.24,0,1,6,1,22,3,2,2,95.63200000000008,20,1,0,0,2
CHEMBL322385,7.97,392.9300000000001,6.037320000000006,29.270000000000003,0,3,3,3,28,5,2,2,112.80000000000004,24,2,1,0,4
CHEMBL323600,4.91,261.36499999999995,2.5215200000000006,29.54,0,3,3,1,19,2,1,1,76.22100000000005,16,1,2,0,3
CHEMBL324465,4.8,250.345,3.326780000000002,27.03,0,2,1,2,19,3,1,1,77.97000000000006,17,2,0,0,2
CHEMBL324886,4.66,234.73,2.8269800000000016,27.03,0,2,1,1,16,2,1,1,65.47400000000003,13,2,0,0,3
CHEMBL325330,7.31,299.36400000000003,4.356500000000003,12.03,1,1,2,2,22,4,2,2,82.84470000000005,19,1,0,2,3
CHEMBL326243,6.9,316.2280000000001,3.5199000000000025,29.54,0,3,3,1,20,2,1,1,81.50400000000005,15,1,2,0,5
CHEMBL353112,7.52,315.45700000000016,3.9863000000000035,29.54,0,3,6,1,23,3,2,2,92.34700000000007,20,1,2,0,3
CHEMBL353240,7.55,333.4750000000001,4.916000000000005,20.310000000000002,0,2,5,2,25,4,2,2,101.86950000000006,23,1,1,0,2
CHEMBL353307,7.8,319.4920000000001,5.275800000000006,3.24,0,1,5,2,24,4,2,2,101.24300000000007,23,1,0,0,1
CHEMBL353829,7.7,313.4410000000001,3.7623000000000033,29.54,0,3,5,1,23,3,2,2,92.25300000000006,20,1,2,0,3
CHEMBL353860,7.64,287.403,3.206100000000002,29.54,0,3,4,1,21,3,2,2,83.11300000000006,18,1,2,0,3
CHEMBL354879,7.96,259.39300000000003,3.025400000000001,23.47,1,2,4,1,19,3,2,2,78.18280000000006,17,1,1,0,2
CHEMBL362565,8.91,508.4340000000001,3.964100000000003,72.91,0,6,7,2,31,4,2,2,120.10180000000004,23,1,5,0,8
CHEMBL365413,7.59,369.278,3.1011000000000015,32.34,1,2,4,1,22,3,2,2,88.54770000000005,17,2,1,1,5
